"filia";"for_what";"limit";"fact";"deviation";"date"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-11-29"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";10280;10657.2;3.66926070038909;"2021-11-30"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2021-11-30"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-11-30"
"ФК \МТМ\ Заводського району";"виробництво тепла";4252;4362.4;2.5964252116651;"2021-11-30"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-11-30"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-11-30"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5765;6036;4.70078057241978;"2021-11-30"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-11-30"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-11-30"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";6967;7138.8;2.46591072197506;"2021-11-30"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-11-30"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-11-30"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";11372;11617.6;2.15969046781574;"2021-11-30"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-11-30"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-11-30"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7012;7211.00000000025;2.83799201369446;"2021-11-30"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-11-30"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-11-30"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5798;6107.39999999972;5.33632286995041;"2021-11-30"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-11-30"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-11-30"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";10780;11334.1999999999;5.14100185528708;"2021-12-01"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2021-12-01"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-01"
